	-220.0000000000		-165.0000000000		0.0000000000	
	-180.0000000000		-165.0000000000		0.0000000000	

	-200.0000000000		-200.0000000000		150.0000000000	
	-180.0000000000		-235.0000000000		0.0000000000	

	-200.0000000000		-200.0000000000		150.0000000000	
	-220.0000000000		-235.0000000000		0.0000000000	

	-220.0000000000		-165.0000000000		0.0000000000	
	-200.0000000000		-200.0000000000		150.0000000000	

	-220.0000000000		-165.0000000000		0.0000000000	
	-180.0000000000		-165.0000000000		0.0000000000	
